Tag,Inorganic phosphor,Host,1st dopant,1st dopant valency,1st doping concentration,2nd dopant,2nd dopant valency,2nd doping concentration ,Temp. (K),Emission max. (nm),CIE x coordinate,CIE y coordinate,Int. quantum efficiency (%),Ext. quantum efficiency (%),Thermal quenching temp. (K),Excitation source (nm),1st Excitation max. (nm),2nd Excitation max. (nm),3rd Excitation max. (nm),Log10 Decay time ( log10[ns]),Decay time (ns),Monitoring energy (nm),Reference,Publisher,MP-ID,ICSD-ID,LOF-Score,Journal,ISSN,Year
512,La0.82MgAl11O19Tm0.03Dy0.15,La0.82MgAl11O19,Tm,3,0.03,Dy,3,0.15,298,455,0.2383,0.2182,,,,359,,,,4.225309282,16800,455,https://doi.org/10.1111/jace.13346,Wiley,mp-1223152,,1.03676992,Journal of the American Ceramic Society,0002-7820,2014
513,La0.96MgAl11O19Tm0.03Dy0.01,La0.96MgAl11O19,Tm,3,0.03,Dy,3,0.01,298,570,0.2354,0.2158,,,,348,,,,,,570,https://doi.org/10.1111/jace.13346,Wiley,mp-1223152,,1.011450303,Journal of the American Ceramic Society,0002-7820,2014
514,La0.94MgAl11O19Tm0.03Dy0.03,La0.94MgAl11O19,Tm,3,0.03,Dy,3,0.03,298,570,0.2686,0.2765,,,,348,,,,,,570,https://doi.org/10.1111/jace.13346,Wiley,mp-1223152,,1.011337358,Journal of the American Ceramic Society,0002-7820,2014
515,La0.92MgAl11O19Tm0.03Dy0.05,La0.92MgAl11O19,Tm,3,0.03,Dy,3,0.05,298,570,0.2821,0.301,,,,348,,,,,,570,https://doi.org/10.1111/jace.13346,Wiley,mp-1223152,,1.011336695,Journal of the American Ceramic Society,0002-7820,2014
516,La0.87MgAl11O19Tm0.03Dy0.1,La0.87MgAl11O19,Tm,3,0.03,Dy,3,0.1,298,570,0.2971,0.3281,,,,348,,,,,,570,https://doi.org/10.1111/jace.13346,Wiley,mp-1223152,,1.011337174,Journal of the American Ceramic Society,0002-7820,2014
517,La0.82MgAl11O19Tm0.03Dy0.15,La0.82MgAl11O19,Tm,3,0.03,Dy,3,0.15,298,570,0.2978,0.3311,,,,348,,,,,,570,https://doi.org/10.1111/jace.13346,Wiley,mp-1223152,,1.011337045,Journal of the American Ceramic Society,0002-7820,2014
518,La0.9MgAl11O19Dy0.1,La0.9MgAl11O19,Dy,3,0.1,,,,298,570,0.3324,0.3665,,,,348,,,,,,570,https://doi.org/10.1111/jace.13346,Wiley,mp-1223152,,0.994594712,Journal of the American Ceramic Society,0002-7820,2014
519,Ba2B2O5Ce0.005,Ba2B2O5,Ce,3,0.005,,,,298,548,0.161,0.087,,,,353,,,,1.215994263,16.4435,420,https://doi.org/10.1111/jace.14766,Wiley,"mp-771158,mp-753413,mp-768345,mp-771174",,1.536876252,Journal of the American Ceramic Society,0002-7820,2017
520,Ba2B2O5Ce0.005Tb0.01,Ba2B2O5,Ce,3,0.005,Tb,3,0.01,298,548,,,,,,353,,,,1.203848464,15.99,420,https://doi.org/10.1111/jace.14766,Wiley,"mp-771158,mp-753413,mp-768345,mp-771174",,1.107044798,Journal of the American Ceramic Society,0002-7820,2017
521,Ba2B2O5Ce0.005Tb0.02,Ba2B2O5,Ce,3,0.005,Tb,3,0.02,298,548,,,,,,353,,,,1.184325107,15.2871,420,https://doi.org/10.1111/jace.14766,Wiley,"mp-771158,mp-753413,mp-768345,mp-771174",,1.106591248,Journal of the American Ceramic Society,0002-7820,2017
522,Ba2B2O5Ce0.005Tb0.03,Ba2B2O5,Ce,3,0.005,Tb,3,0.03,298,548,,,,,,353,,,,1.16907753,14.7597,420,https://doi.org/10.1111/jace.14766,Wiley,"mp-771158,mp-753413,mp-768345,mp-771174",,1.106281785,Journal of the American Ceramic Society,0002-7820,2017
523,Ba2B2O5Ce0.005Tb0.05,Ba2B2O5,Ce,3,0.005,Tb,3,0.05,298,548,,,,,,353,,,,1.080752717,12.0435,420,https://doi.org/10.1111/jace.14766,Wiley,"mp-771158,mp-753413,mp-768345,mp-771174",,1.068087508,Journal of the American Ceramic Society,0002-7820,2017
524,Ba2B2O5Ce0.005Tb0.1,Ba2B2O5,Ce,3,0.005,Tb,3,0.1,298,548,,,,,,353,,,,1.071878327,11.7999,420,https://doi.org/10.1111/jace.14766,Wiley,"mp-771158,mp-753413,mp-768345,mp-771174",,1.071635112,Journal of the American Ceramic Society,0002-7820,2017
525,Ba2B2O5Ce0.005Tb0.1,Ba2B2O5,Ce,3,0.005,Tb,3,0.1,298,,,,,,,353,,,,6.634376494,4309000,548,https://doi.org/10.1111/jace.14766,Wiley,"mp-771158,mp-753413,mp-768345,mp-771174",,1.294088133,Journal of the American Ceramic Society,0002-7820,2017
526,Ba2B2O5Tb0.1,Ba2B2O5,Tb,3,0.1,,,,298,604,0.318,0.562,,,,262,262,,,5.791269481,618400,604,https://doi.org/10.1111/jace.14766,Wiley,"mp-771158,mp-753413,mp-768345,mp-771174",,1.013101104,Journal of the American Ceramic Society,0002-7820,2017
527,Ba2B2O5Tb0.1Sm0.01,Ba2B2O5,Tb,3,0.1,Sm,3,0.01,298,604,,,,,,262,262,,,5.607133204,404700,604,https://doi.org/10.1111/jace.14766,Wiley,"mp-771158,mp-753413,mp-768345,mp-771174",,0.985551955,Journal of the American Ceramic Society,0002-7820,2017
528,Ba2B2O5Tb0.1Sm0.02,Ba2B2O5,Tb,3,0.1,Sm,3,0.02,298,604,,,,,,262,262,,,5.576686805,377300,604,https://doi.org/10.1111/jace.14766,Wiley,"mp-771158,mp-753413,mp-768345,mp-771174",,1.004144881,Journal of the American Ceramic Society,0002-7820,2017
529,Ba2B2O5Tb0.1Sm0.03,Ba2B2O5,Tb,3,0.1,Sm,3,0.03,298,604,,,,,,262,262,,,5.510946949,324300,604,https://doi.org/10.1111/jace.14766,Wiley,"mp-771158,mp-753413,mp-768345,mp-771174",,1.019671342,Journal of the American Ceramic Society,0002-7820,2017
530,Ba2B2O5Tb0.1Sm0.05,Ba2B2O5,Tb,3,0.1,Sm,3,0.05,298,604,,,,,,262,262,,,5.440594262,275800,604,https://doi.org/10.1111/jace.14766,Wiley,"mp-771158,mp-753413,mp-768345,mp-771174",,0.975719008,Journal of the American Ceramic Society,0002-7820,2017
531,Ba2B2O5Tb0.1Sm0.07,Ba2B2O5,Tb,3,0.1,Sm,3,0.07,298,604,,,,,,262,262,,,5.349860082,223800,604,https://doi.org/10.1111/jace.14766,Wiley,"mp-771158,mp-753413,mp-768345,mp-771174",,1.04648478,Journal of the American Ceramic Society,0002-7820,2017
532,Ba2B2O5Tb0.1Sm0.1,Ba2B2O5,Tb,3,0.1,Sm,3,0.1,298,604,,,,,,262,262,,,5.300595484,199800,604,https://doi.org/10.1111/jace.14766,Wiley,"mp-771158,mp-753413,mp-768345,mp-771174",,1.026667476,Journal of the American Ceramic Society,0002-7820,2017
533,Ba2B2O5Sm0.03,Ba2B2O5,Sm,3,0.03,,,,298,604,0.552,0.29,,,,604,406,,,,,604,https://doi.org/10.1111/jace.14766,Wiley,"mp-771158,mp-753413,mp-768345,mp-771174",,1.302496293,Journal of the American Ceramic Society,0002-7820,2017
563,K2CaP2O7Ce0.02,K2CaP2O7,Ce,3,0.02,,,,298,358,0.1644,0.0187,,,,316,316,,,1.477988976,30.06,358,https://doi.org/10.1111/jace.14470,Wiley,mp-555914, icsd-281572,1.060077101,Journal of the American Ceramic Society,0002-7820,2016
564,K2CaP2O7Ce0.02Tb0.01,K2CaP2O7,Ce,3,0.02,Tb,3,0.01,298,358,0.1771,0.0868,,,,316,,,,1.459271834,28.792,358,https://doi.org/10.1111/jace.14470,Wiley,mp-555914, icsd-281572,0.998922077,Journal of the American Ceramic Society,0002-7820,2016
565,K2CaP2O7Ce0.02Tb0.04,K2CaP2O7,Ce,3,0.02,Tb,3,0.04,298,358,0.205,0.2714,,,,316,,,,1.402828605,25.283,358,https://doi.org/10.1111/jace.14470,Wiley,mp-555914, icsd-281572,0.993934291,Journal of the American Ceramic Society,0002-7820,2016
566,K2CaP2O7Ce0.02Tb0.08,K2CaP2O7,Ce,3,0.02,Tb,3,0.08,298,358,0.2262,0.4109,,,,316,,,,1.347642205,22.266,358,https://doi.org/10.1111/jace.14470,Wiley,mp-555914, icsd-281572,0.993859745,Journal of the American Ceramic Society,0002-7820,2016
567,K2CaP2O7Ce0.02Tb0.12,K2CaP2O7,Ce,3,0.02,Tb,3,0.12,298,358,0.2339,0.4629,,,,316,316,,,1.294972975,19.723,358,https://doi.org/10.1111/jace.14470,Wiley,mp-555914, icsd-281572,0.994526982,Journal of the American Ceramic Society,0002-7820,2016
568,K2CaP2O7Ce0.02Tb0.16,K2CaP2O7,Ce,3,0.02,Tb,3,0.16,298,549,0.2444,0.5288,,,,316,,,,1.226522576,16.847,358,https://doi.org/10.1111/jace.14470,Wiley,mp-555914, icsd-281572,0.997529193,Journal of the American Ceramic Society,0002-7820,2016
569,K2CaP2O7Ce0.02Tb0.2,K2CaP2O7,Ce,3,0.02,Tb,3,0.2,298,549,0.2411,0.5044,,,,316,,,,1.225593548,16.811,358,https://doi.org/10.1111/jace.14470,Wiley,mp-555914, icsd-281572,0.996609243,Journal of the American Ceramic Society,0002-7820,2016
570,NaCaPO4Tb0.02,NaCaPO4,Tb,3,0.02,,,,298,,,,,,,328,,,,6.432809005,2709000,,https://doi.org/10.1002/ejic.201000392,Wiley,mp-14401, icsd-35629,1.16401233,European Journal of Inorganic Chemistry,1434-1948,2010
571,NaCaPO4Tb0.02Ce0.005,NaCaPO4,Tb,3,0.02,Ce,3,0.005,298,544,,,,,,328,,,,6.435525851,2726000,,https://doi.org/10.1002/ejic.201000392,Wiley,mp-14401, icsd-35629,1.112575189,European Journal of Inorganic Chemistry,1434-1948,2010
572,NaCaPO4Tb0.02Ce0.01,NaCaPO4,Tb,3,0.02,Ce,3,0.01,298,544,,,,,,328,,,,6.436003536,2729000,,https://doi.org/10.1002/ejic.201000392,Wiley,mp-14401, icsd-35629,1.113921224,European Journal of Inorganic Chemistry,1434-1948,2010
573,NaCaPO4Tb0.02Ce0.02,NaCaPO4,Tb,3,0.02,Ce,3,0.02,298,544,0.27,0.38,,49.1,,328,,,,6.437909036,2741000,,https://doi.org/10.1002/ejic.201000392,Wiley,mp-14401, icsd-35629,1.121998613,European Journal of Inorganic Chemistry,1434-1948,2010
574,NaCaPO4Tb0.04Ce0.02,NaCaPO4,Tb,3,0.04,Ce,3,0.02,298,544,,,,76.2,,328,,,,,,,https://doi.org/10.1002/ejic.201000392,Wiley,mp-14401, icsd-35629,1.011611285,European Journal of Inorganic Chemistry,1434-1948,2010
575,NaCaPO4Tb0.06Ce0.02,NaCaPO4,Tb,3,0.06,Ce,3,0.02,298,544,,,,74.7,,328,,,,,,,https://doi.org/10.1002/ejic.201000392,Wiley,mp-14401, icsd-35629,1.011197192,European Journal of Inorganic Chemistry,1434-1948,2010
576,NaCaPO4Tb0.08Ce0.02,NaCaPO4,Tb,3,0.08,Ce,3,0.02,298,544,0.32,0.56,,,,328,,,,,,,https://doi.org/10.1002/ejic.201000392,Wiley,mp-14401, icsd-35629,1.007351231,European Journal of Inorganic Chemistry,1434-1948,2010
577,NaCaPO4Ce0.02,NaCaPO4,Ce,3,0.02,,,,298,370,0.17,0.03,,,,328,275,,,,,370,https://doi.org/10.1002/ejic.201000392,Wiley,mp-14401, icsd-35629,1.344606466,European Journal of Inorganic Chemistry,1434-1948,2010
578,Ca0.99Al2Si2O8Eu0.01,Ca0.99Al2Si2O8,Eu,2,0.01,,,,298,425,0.17,0.11,,,,354,354,,,2.86332286,730,425,https://doi.org/10.1021/cm050638f,ACS,"mp-6532,mp-758658,mp-1227479", icsd-252652 icsd-252654 icsd-252649 icsd-654 icsd-31127 icsd-86319 icsd-34942 icsd-252657 icsd-252653 icsd-252650 icsd-86317 icsd-252655 icsd-252656 icsd-23922 icsd-22023 icsd-252648 icsd-22022 icsd-86318 icsd-252651 icsd-202712,1.060132256,Chemistry of Materials,0897-4756,2005
579,Ca0.94Al2Si2O8Eu0.01Mn0.05,Ca0.94Al2Si2O8,Eu,2,0.01,Mn,2,0.05,298,425,0.18,0.12,,,,354,354,,,,,425,https://doi.org/10.1021/cm050638f,ACS,"mp-6532,mp-758658,mp-1227479", icsd-252652 icsd-252654 icsd-252649 icsd-654 icsd-31127 icsd-86319 icsd-34942 icsd-252657 icsd-252653 icsd-252650 icsd-86317 icsd-252655 icsd-252656 icsd-23922 icsd-22023 icsd-252648 icsd-22022 icsd-86318 icsd-252651 icsd-202712,1.016145695,Chemistry of Materials,0897-4756,2005
580,Ca0.89Al2Si2O8Eu0.01Mn0.1,Ca0.89Al2Si2O8,Eu,2,0.01,Mn,2,0.1,298,425,0.2,0.14,,,,354,354,,,2.819543936,660,425,https://doi.org/10.1021/cm050638f,ACS,"mp-6532,mp-758658,mp-1227479", icsd-252652 icsd-252654 icsd-252649 icsd-654 icsd-31127 icsd-86319 icsd-34942 icsd-252657 icsd-252653 icsd-252650 icsd-86317 icsd-252655 icsd-252656 icsd-23922 icsd-22023 icsd-252648 icsd-22022 icsd-86318 icsd-252651 icsd-202712,0.973064365,Chemistry of Materials,0897-4756,2005
581,Ca0.84Al2Si2O8Eu0.01Mn0.15,Ca0.84Al2Si2O8,Eu,2,0.01,Mn,2,0.15,298,425,0.24,0.21,,,,354,354,,,2.755874856,570,425,https://doi.org/10.1021/cm050638f,ACS,"mp-6532,mp-758658,mp-1227479", icsd-252652 icsd-252654 icsd-252649 icsd-654 icsd-31127 icsd-86319 icsd-34942 icsd-252657 icsd-252653 icsd-252650 icsd-86317 icsd-252655 icsd-252656 icsd-23922 icsd-22023 icsd-252648 icsd-22022 icsd-86318 icsd-252651 icsd-202712,0.970760308,Chemistry of Materials,0897-4756,2005
582,Ca0.79Al2Si2O8Eu0.01Mn0.2,Ca0.79Al2Si2O8,Eu,2,0.01,Mn,2,0.2,298,425,0.3,0.29,,,,354,354,,,2.633468456,430,425,https://doi.org/10.1021/cm050638f,ACS,"mp-6532,mp-758658,mp-1227479", icsd-252652 icsd-252654 icsd-252649 icsd-654 icsd-31127 icsd-86319 icsd-34942 icsd-252657 icsd-252653 icsd-252650 icsd-86317 icsd-252655 icsd-252656 icsd-23922 icsd-22023 icsd-252648 icsd-22022 icsd-86318 icsd-252651 icsd-202712,1.003379404,Chemistry of Materials,0897-4756,2005
583,Ca0.74Al2Si2O8Eu0.01Mn0.25,Ca0.74Al2Si2O8,Eu,2,0.01,Mn,2,0.25,298,425,0.33,0.31,,,,354,354,,,2.531478917,340,425,https://doi.org/10.1021/cm050638f,ACS,"mp-6532,mp-758658,mp-1227479", icsd-252652 icsd-252654 icsd-252649 icsd-654 icsd-31127 icsd-86319 icsd-34942 icsd-252657 icsd-252653 icsd-252650 icsd-86317 icsd-252655 icsd-252656 icsd-23922 icsd-22023 icsd-252648 icsd-22022 icsd-86318 icsd-252651 icsd-202712,1.002863563,Chemistry of Materials,0897-4756,2005
584,La3.98GeO8Eu0.006Er0.014,La3.98GeO8,Eu,2,0.006,Er,3,0.014,298,618,0.6176,0.3561,,,,250,,,,,,,https://doi.org/10.1002/adfm.202102479,Wiley,mp-1211987,,1.130727498,Advanced Functional Materials,1616-301X,2021
585,La3.98GeO8Eu0.006Er0.014,La3.98GeO8,Eu,2,0.006,Er,3,0.014,298,618,0.6153,0.3651,,,,254,,,,5.953566414,898600,624,https://doi.org/10.1002/adfm.202102479,Wiley,mp-1211987,,1.04787534,Advanced Functional Materials,1616-301X,2021
586,La3.98GeO8Eu0.006Er0.014,La3.98GeO8,Eu,2,0.006,Er,3,0.014,298,618,0.6092,0.3606,,,,260,,,,,,,https://doi.org/10.1002/adfm.202102479,Wiley,mp-1211987,,1.128819878,Advanced Functional Materials,1616-301X,2021
587,La3.98GeO8Eu0.006Er0.014,La3.98GeO8,Eu,2,0.006,Er,3,0.014,298,624,0.6227,0.3525,,,,270,,,,,,,https://doi.org/10.1002/adfm.202102479,Wiley,mp-1211987,,1.127380636,Advanced Functional Materials,1616-301X,2021
588,La3.98GeO8Eu0.006Er0.014,La3.98GeO8,Eu,2,0.006,Er,3,0.014,298,624,0.6243,0.351,,,,280,,,,,,,https://doi.org/10.1002/adfm.202102479,Wiley,mp-1211987,,1.125719796,Advanced Functional Materials,1616-301X,2021
589,La3.98GeO8Eu0.006Er0.014,La3.98GeO8,Eu,2,0.006,Er,3,0.014,298,624,0.6293,0.348,,,,290,,,,,,,https://doi.org/10.1002/adfm.202102479,Wiley,mp-1211987,,1.124184772,Advanced Functional Materials,1616-301X,2021
590,La3.98GeO8Eu0.006Er0.014,La3.98GeO8,Eu,2,0.006,Er,3,0.014,298,624,0.6277,0.3445,,,,300,,,,,,,https://doi.org/10.1002/adfm.202102479,Wiley,mp-1211987,,1.122777595,Advanced Functional Materials,1616-301X,2021
591,La3.98GeO8Eu0.006Er0.014,La3.98GeO8,Eu,2,0.006,Er,3,0.014,298,624,0.6164,0.3401,,,,310,,,,,,,https://doi.org/10.1002/adfm.202102479,Wiley,mp-1211987,,1.121500156,Advanced Functional Materials,1616-301X,2021
592,La3.98GeO8Eu0.006Er0.014,La3.98GeO8,Eu,2,0.006,Er,3,0.014,298,624,0.5846,0.3373,,,,320,,,,,,,https://doi.org/10.1002/adfm.202102479,Wiley,mp-1211987,,1.1203542,Advanced Functional Materials,1616-301X,2021
593,La3.98GeO8Eu0.006Er0.014,La3.98GeO8,Eu,2,0.006,Er,3,0.014,298,624,0.4385,0.2661,,,,330,,,,,,,https://doi.org/10.1002/adfm.202102479,Wiley,mp-1211987,,1.119341304,Advanced Functional Materials,1616-301X,2021
594,La3.98GeO8Eu0.006Er0.014,La3.98GeO8,Eu,2,0.006,Er,3,0.014,298,624,0.3076,0.2256,,,,340,,,,,,,https://doi.org/10.1002/adfm.202102479,Wiley,mp-1211987,,1.118450772,Advanced Functional Materials,1616-301X,2021
595,La3.98GeO8Eu0.006Er0.014,La3.98GeO8,Eu,2,0.006,Er,3,0.014,298,624,0.3076,0.2694,,,,350,,,,,,,https://doi.org/10.1002/adfm.202102479,Wiley,mp-1211987,,1.117514118,Advanced Functional Materials,1616-301X,2021
596,La3.98GeO8Eu0.006Er0.014,La3.98GeO8,Eu,2,0.006,Er,3,0.014,298,561,0.3259,0.5235,,,,360,,,,5.038222638,109200,558,https://doi.org/10.1002/adfm.202102479,Wiley,mp-1211987,,1.015702074,Advanced Functional Materials,1616-301X,2021
597,La3.98GeO8Eu0.006Er0.014,La3.98GeO8,Eu,2,0.006,Er,3,0.014,298,561,0.3218,0.6086,,,,365,,,,,,,https://doi.org/10.1002/adfm.202102479,Wiley,mp-1211987,,1.115616094,Advanced Functional Materials,1616-301X,2021
598,La3.98GeO8Eu0.006Er0.014,La3.98GeO8,Eu,2,0.006,Er,3,0.014,298,561,0.322,0.6478,,,,370,,,,,,,https://doi.org/10.1002/adfm.202102479,Wiley,mp-1211987,,1.115401984,Advanced Functional Materials,1616-301X,2021
599,La3.98GeO8Eu0.006Er0.014,La3.98GeO8,Eu,2,0.006,Er,3,0.014,298,561,0.3257,0.6447,,,,378,,,,,,,https://doi.org/10.1002/adfm.202102479,Wiley,mp-1211987,,1.115131665,Advanced Functional Materials,1616-301X,2021
600,La3.98GeO8Eu0.006Er0.014,La3.98GeO8,Eu,2,0.006,Er,3,0.014,298,561,0.3537,0.4967,,,,380,,,,,,,https://doi.org/10.1002/adfm.202102479,Wiley,mp-1211987,,1.115077961,Advanced Functional Materials,1616-301X,2021
601,Ba3Sc4O9Bi0.016,Ba3Sc4O9,Bi,3,0.016,,,,298,,,,,,,330,,,,2.602624207,400.52,410,https://doi.org/10.1111/jace.14789,Wiley,,,1.443874163,Journal of the American Ceramic Society,0002-7820,2017
602,Ba3Sc4O9Bi0.016,Ba3Sc4O9,Bi,3,0.016,,,,298,,0.2765,0.4185,,,,320,,,,,,,https://doi.org/10.1111/jace.14789,Wiley,,,1.142420304,Journal of the American Ceramic Society,0002-7820,2017
603,Ba3Sc4O9Bi0.016,Ba3Sc4O9,Bi,3,0.016,,,,298,500,0.2553,0.4034,,,486,330,,,,2.862799011,729.12,500,https://doi.org/10.1111/jace.14789,Wiley,,,1.446817752,Journal of the American Ceramic Society,0002-7820,2017
604,Ba3Sc4O9Bi0.016,Ba3Sc4O9,Bi,3,0.016,,,,298,,,,,,,330,,,,2.906938109,807.12,545,https://doi.org/10.1111/jace.14789,Wiley,,,1.566793534,Journal of the American Ceramic Society,0002-7820,2017
605,Ba3Sc4O9Bi0.016,Ba3Sc4O9,Bi,3,0.016,,,,298,,,,,,,330,,,,2.939718882,870.4,590,https://doi.org/10.1111/jace.14789,Wiley,,,1.65830209,Journal of the American Ceramic Society,0002-7820,2017
606,Ba3Sc4O9Bi0.016,Ba3Sc4O9,Bi,3,0.016,,,,298,,0.2326,0.3851,,,,340,,,,,,,https://doi.org/10.1111/jace.14789,Wiley,,,1.136926866,Journal of the American Ceramic Society,0002-7820,2017
607,Ba3Sc4O9Bi0.016,Ba3Sc4O9,Bi,3,0.016,,,,298,,0.3137,0.4587,,,,360,,,,,,,https://doi.org/10.1111/jace.14789,Wiley,,,1.134402048,Journal of the American Ceramic Society,0002-7820,2017
608,Ba3Sc4O9Bi0.016,Ba3Sc4O9,Bi,3,0.016,,,,298,,,,,,,377,,,,2.430236353,269.3,410,https://doi.org/10.1111/jace.14789,Wiley,,,1.318532314,Journal of the American Ceramic Society,0002-7820,2017
609,Ba3Sc4O9Bi0.016,Ba3Sc4O9,Bi,3,0.016,,,,298,,,,,,,377,,,,2.895256753,785.7,500,https://doi.org/10.1111/jace.14789,Wiley,,,1.504619536,Journal of the American Ceramic Society,0002-7820,2017
610,Ba3Sc4O9Bi0.016,Ba3Sc4O9,Bi,3,0.016,,,,298,545,0.3708,0.5228,,,508,377,,,,2.946181975,883.45,545,https://doi.org/10.1111/jace.14789,Wiley,,,1.59146065,Journal of the American Ceramic Society,0002-7820,2017
611,Ba3Sc4O9Bi0.016,Ba3Sc4O9,Bi,3,0.016,,,,298,,,,,,,377,,,,2.966517176,925.8,590,https://doi.org/10.1111/jace.14789,Wiley,,,1.663405011,Journal of the American Ceramic Society,0002-7820,2017
612,KBa0.999ScSi2O7Eu0.001,KBa0.999ScSi2O7,Eu,2,0.001,,,,298,488,,,64.8,,,350,300,,,2.965662571,923.98,488,https://doi.org/10.1111/jace.16644,Wiley,,,1.055628855,Journal of the American Ceramic Society,0002-7820,2019
613,KBa0.998ScSi2O7Eu0.002,KBa0.998ScSi2O7,Eu,2,0.002,,,,298,488,0.1391,0.3104,78.2,,,350,300,,,2.95752109,906.82,488,https://doi.org/10.1111/jace.16644,Wiley,,,1.046332875,Journal of the American Ceramic Society,0002-7820,2019
614,KBa0.997ScSi2O7Eu0.003,KBa0.997ScSi2O7,Eu,2,0.003,,,,298,488,,,80.7,,,350,300,,,2.954806726,901.17,488,https://doi.org/10.1111/jace.16644,Wiley,,,1.043294673,Journal of the American Ceramic Society,0002-7820,2019
615,KBa0.996ScSi2O7Eu0.004,KBa0.996ScSi2O7,Eu,2,0.004,,,,298,488,,,80.1,,,350,300,,,2.946835297,884.78,488,https://doi.org/10.1111/jace.16644,Wiley,,,1.048325537,Journal of the American Ceramic Society,0002-7820,2019
616,KBa0.995ScSi2O7Eu0.005,KBa0.995ScSi2O7,Eu,2,0.005,,,,298,488,,,91.3,,,350,300,,,2.937076352,865.12,488,https://doi.org/10.1111/jace.16644,Wiley,,,1.037797256,Journal of the American Ceramic Society,0002-7820,2019
617,KBa0.994ScSi2O7Eu0.006,KBa0.994ScSi2O7,Eu,2,0.006,,,,298,488,,,90.7,,,350,300,,,2.934220616,859.45,488,https://doi.org/10.1111/jace.16644,Wiley,,,1.04090841,Journal of the American Ceramic Society,0002-7820,2019
618,KBa0.993ScSi2O7Eu0.007,KBa0.993ScSi2O7,Eu,2,0.007,,,,298,488,,,83.9,,,350,300,,,2.926172606,843.67,488,https://doi.org/10.1111/jace.16644,Wiley,,,1.031410329,Journal of the American Ceramic Society,0002-7820,2019
619,KBa0.992ScSi2O7Eu0.008,KBa0.992ScSi2O7,Eu,2,0.008,,,,298,488,,,82.3,,,350,300,,,2.91925596,830.34,488,https://doi.org/10.1111/jace.16644,Wiley,,,1.024948482,Journal of the American Ceramic Society,0002-7820,2019
620,KBa0.99ScSi2O7Eu0.01,KBa0.99ScSi2O7,Eu,2,0.01,,,,298,488,,,76.8,,,350,300,,,2.91239744,817.33,488,https://doi.org/10.1111/jace.16644,Wiley,,,1.020317303,Journal of the American Ceramic Society,0002-7820,2019
621,SrLaGaO4Mn0.01,SrLaGaO4,Mn,4,0.01,,,,298,716,,,,,,365,,,,5.756636108,571000,716,https://doi.org/10.1111/jace.15981,Wiley,mp-1218152,,1.002592229,Journal of the American Ceramic Society,0002-7820,2018
622,SrLaGaO4Mn0.0015,SrLaGaO4,Mn,4,0.0015,,,,298,716,,,,,,365,,,,5.755112266,569000,716,https://doi.org/10.1111/jace.15981,Wiley,mp-1218152,,0.990211539,Journal of the American Ceramic Society,0002-7820,2018
623,SrLaGaO4Mn0.002,SrLaGaO4,Mn,4,0.002,,,,298,716,,,,,345,365,365,,,5.743509765,554000,716,https://doi.org/10.1111/jace.15981,Wiley,mp-1218152,,1.01209874,Journal of the American Ceramic Society,0002-7820,2018
624,SrLaGaO4Mn0.003,SrLaGaO4,Mn,4,0.003,,,,298,716,,,,,,365,,,,5.72916479,536000,716,https://doi.org/10.1111/jace.15981,Wiley,mp-1218152,,0.978964657,Journal of the American Ceramic Society,0002-7820,2018
625,SrLaGaO4Mn0.005,SrLaGaO4,Mn,4,0.005,,,,298,716,,,,,,365,,,,5.705863712,508000,716,https://doi.org/10.1111/jace.15981,Wiley,mp-1218152,,0.994959127,Journal of the American Ceramic Society,0002-7820,2018
626,SrLaGaO4Mn0.007,SrLaGaO4,Mn,4,0.007,,,,298,716,,,,,,365,,,,5.671172843,469000,716,https://doi.org/10.1111/jace.15981,Wiley,mp-1218152,,1.017058867,Journal of the American Ceramic Society,0002-7820,2018
648,Ba2Y1.94Si4O13Bi0.03,Ba2Y1.94Si4O13,Bi,3,0.03,,,,298,503,0.219,0.35,,,,342,342,,,2.678518379,477,503,https://doi.org/10.1111/jace.16048,Wiley,,,1.207783494,Journal of the American Ceramic Society,0002-7820,2018
649,Ba2Y1.86Si4O13Bi0.03Eu0.04,Ba2Y1.86Si4O13,Bi,3,0.03,Eu,3,0.04,298,503,0.229,0.351,,,,342,,,,2.67669361,475,503,https://doi.org/10.1111/jace.16048,Wiley,,,1.169280714,Journal of the American Ceramic Society,0002-7820,2018
650,Ba2Y1.78Si4O13Bi0.03Eu0.08,Ba2Y1.78Si4O13,Bi,3,0.03,Eu,3,0.08,298,503,0.324,0.347,,,,342,,,,2.675778342,474,503,https://doi.org/10.1111/jace.16048,Wiley,,,1.176373075,Journal of the American Ceramic Society,0002-7820,2018
651,Ba2Y1.70Si4O13Bi0.03Eu0.12,Ba2Y1.70Si4O13,Bi,3,0.03,Eu,3,0.12,298,613,0.253,0.349,,,,342,,,,2.671172843,469,503,https://doi.org/10.1111/jace.16048,Wiley,,,1.179656752,Journal of the American Ceramic Society,0002-7820,2018
652,Ba2Y1.62Si4O13Bi0.03Eu0.16,Ba2Y1.62Si4O13,Bi,3,0.03,Eu,3,0.16,298,613,0.246,0.351,,,,342,,,,2.664641976,462,503,https://doi.org/10.1111/jace.16048,Wiley,,,1.198674162,Journal of the American Ceramic Society,0002-7820,2018
