protocol,feature_set,model,fold,train_rows,test_rows,train_groups,test_groups,mae,rmse,r2
group_host,AF+T,xgboost,2,1385,280,894,224,21.70828138078962,39.85850836039283,0.6078567855403023
group_host,AF+T,xgboost,3,1323,342,895,223,27.00599777489378,46.92985035793952,0.46791435821410565
group_host,AF+T,xgboost,4,1285,380,895,223,27.50141930831106,49.71436563466223,0.4876662223913296
group_host,AF+T+ES,median,0,1331,334,894,224,32.97754491017964,62.99280564377373,-0.2228396220794222
group_host,AF+T+ES,median,1,1336,329,894,224,42.83586626139817,71.55581068336234,-0.33606688215858793
group_host,AF+T+ES,median,2,1385,280,894,224,43.292857142857144,73.53687121826322,-0.33478991467952124
group_host,AF+T+ES,median,3,1323,342,895,223,46.43567251461988,75.40613234559665,-0.37371465965266926
group_host,AF+T+ES,median,4,1285,380,895,223,45.63947368421053,78.66989660333199,-0.28293999402424297
group_host,AF+T+ES,xgboost,0,1331,334,894,224,18.706047286530456,35.47715104542811,0.6121309982597053
group_host,AF+T+ES,xgboost,1,1336,329,894,224,17.94980544812049,34.20958153250647,0.694624697820245
group_host,AF+T+ES,xgboost,2,1385,280,894,224,17.984083448137557,34.14229705542498,0.7122680467526081
group_host,AF+T+ES,xgboost,3,1323,342,895,223,25.823145102339183,44.769689411293264,0.5157703660899295
group_host,AF+T+ES,xgboost,4,1285,380,895,223,20.812031474866366,43.41722633696128,0.6092370889270012
group_reference,AF,median,0,1295,364,240,61,36.80494505494506,66.29141873426906,-0.2756577580942441
group_reference,AF,median,1,1347,312,241,60,39.2275641025641,69.78409928357972,-0.24339391437214708
group_reference,AF,median,2,1317,342,241,60,62.39912280701754,90.71127724110961,-0.6502070939747038
group_reference,AF,median,3,1355,304,241,60,42.453947368421055,73.00018024491085,-0.21887083467061963
group_reference,AF,median,4,1322,337,241,60,30.82492581602374,60.67381290721968,-0.22230559409651507
group_reference,AF,xgboost,0,1295,364,240,61,35.643062968830485,53.20229372681888,0.17836248496634144
group_reference,AF,xgboost,1,1347,312,241,60,34.94911056909806,53.49924224993271,0.26921261075196434
group_reference,AF,xgboost,2,1317,342,241,60,40.625060767458194,62.2653648216757,0.2224846713592077
group_reference,AF,xgboost,3,1355,304,241,60,36.25662602876362,51.92367385447108,0.3833472861931375
group_reference,AF,xgboost,4,1322,337,241,60,35.44305582923776,50.871463376158495,0.14073784389263522
group_reference,AF+ES,median,0,1295,364,240,61,36.80494505494506,66.29141873426906,-0.2756577580942441
group_reference,AF+ES,median,1,1347,312,241,60,39.2275641025641,69.78409928357972,-0.24339391437214708
group_reference,AF+ES,median,2,1317,342,241,60,62.39912280701754,90.71127724110961,-0.6502070939747038
group_reference,AF+ES,median,3,1355,304,241,60,42.453947368421055,73.00018024491085,-0.21887083467061963
group_reference,AF+ES,median,4,1322,337,241,60,30.82492581602374,60.67381290721968,-0.22230559409651507
group_reference,AF+ES,xgboost,0,1295,364,240,61,30.531211936866843,48.30809354239937,0.3225779255186607
group_reference,AF+ES,xgboost,1,1347,312,241,60,35.24393971761068,54.223390927838814,0.24929530979983683
group_reference,AF+ES,xgboost,2,1317,342,241,60,36.74960550230149,54.75708515434289,0.3986926271076199
group_reference,AF+ES,xgboost,3,1355,304,241,60,31.758338325902034,46.80750221813572,0.4988811336878788
group_reference,AF+ES,xgboost,4,1322,337,241,60,29.79163204385548,45.891634750928326,0.3007309926297793
group_reference,AF+T,median,0,1295,364,240,61,36.80494505494506,66.29141873426906,-0.2756577580942441
group_reference,AF+T,median,1,1347,312,241,60,39.2275641025641,69.78409928357972,-0.24339391437214708
group_reference,AF+T,median,2,1317,342,241,60,62.39912280701754,90.71127724110961,-0.6502070939747038
group_reference,AF+T,median,3,1355,304,241,60,42.453947368421055,73.00018024491085,-0.21887083467061963
group_reference,AF+T,median,4,1322,337,241,60,30.82492581602374,60.67381290721968,-0.22230559409651507
group_reference,AF+T,xgboost,0,1295,364,240,61,35.144403478601475,52.28246549995391,0.2065278896686965
group_reference,AF+T,xgboost,1,1347,312,241,60,34.67577538123498,52.98750201857551,0.2831262549390796
group_reference,AF+T,xgboost,2,1317,342,241,60,40.35742713972839,62.00889430721484,0.22887663817261394
group_reference,AF+T,xgboost,3,1355,304,241,60,35.61077961168791,50.142731315610206,0.4249232711629445
group_reference,AF+T,xgboost,4,1322,337,241,60,35.311036514599174,49.99623723307709,0.1700501255860366
group_reference,AF+T+ES,median,0,1295,364,240,61,36.80494505494506,66.29141873426906,-0.2756577580942441
group_reference,AF+T+ES,median,1,1347,312,241,60,39.2275641025641,69.78409928357972,-0.24339391437214708
group_reference,AF+T+ES,median,2,1317,342,241,60,62.39912280701754,90.71127724110961,-0.6502070939747038
group_reference,AF+T+ES,median,3,1355,304,241,60,42.453947368421055,73.00018024491085,-0.21887083467061963
group_reference,AF+T+ES,median,4,1322,337,241,60,30.82492581602374,60.67381290721968,-0.22230559409651507
group_reference,AF+T+ES,xgboost,0,1295,364,240,61,30.61447487296639,48.061680019859025,0.3294711896996583
group_reference,AF+T+ES,xgboost,1,1347,312,241,60,35.020115974621895,53.216812072551726,0.2769081071805797
group_reference,AF+T+ES,xgboost,2,1317,342,241,60,36.7858759116011,55.196023481760136,0.3890137070550461
group_reference,AF+T+ES,xgboost,3,1355,304,241,60,31.00854532342208,45.979904855577544,0.5164449124103202
