protocol,feature_set,model,training_mode,Eu valence,fold,train_rows,test_rows,mae,rmse,r2
group_formula,AF+ES,median,separate,3,3,845,194,12.788659793814434,34.38165118408844,-0.115827883644543
group_formula,AF+ES,median,separate,3,4,814,225,10.862222222222222,24.655132438410376,-0.047390687273878296
group_formula,AF+ES,xgboost,pooled,2,0,490,136,22.158634858972885,33.29101524354364,0.8167738262544161
group_formula,AF+ES,xgboost,pooled,2,1,511,115,27.21902625042459,49.772526963859015,0.5749922194668321
group_formula,AF+ES,xgboost,pooled,2,2,498,128,23.783743143081665,40.10813328879924,0.746129688055694
group_formula,AF+ES,xgboost,pooled,2,3,505,121,23.17043840392562,38.55779633826505,0.7080553921005336
group_formula,AF+ES,xgboost,pooled,2,4,500,126,19.733191838340154,32.63485275015487,0.7508832779670235
group_formula,AF+ES,xgboost,pooled,3,0,812,227,12.368850237472467,21.817904143224926,0.4087141904787809
group_formula,AF+ES,xgboost,pooled,3,1,830,209,9.874283932042465,22.401134881203397,0.4136561163158179
group_formula,AF+ES,xgboost,pooled,3,2,855,184,9.648083894149117,21.275475138838193,0.30119748264517554
group_formula,AF+ES,xgboost,pooled,3,3,845,194,9.66114665552513,21.584406852336507,0.5602316326685223
group_formula,AF+ES,xgboost,pooled,3,4,814,225,8.658485785590278,19.76045404221032,0.32719708070484466
group_formula,AF+ES,xgboost,separate,2,0,490,136,32.76670747644761,54.73429237627539,0.5047181094832041
group_formula,AF+ES,xgboost,separate,2,1,511,115,24.986484162703803,48.43241847681468,0.5975704974576552
group_formula,AF+ES,xgboost,separate,2,2,498,128,21.12717843055725,38.32192970119928,0.7682382522389034
group_formula,AF+ES,xgboost,separate,2,3,505,121,22.450365807399276,37.40373701550485,0.7252700305056501
group_formula,AF+ES,xgboost,separate,2,4,500,126,17.09855046347966,30.112263439066247,0.7879069838831378
group_formula,AF+ES,xgboost,separate,3,0,812,227,8.96501690700716,19.24082499810784,0.5401472619079719
group_formula,AF+ES,xgboost,separate,3,1,830,209,7.557798832797548,20.715145652942013,0.49859537020512146
group_formula,AF+ES,xgboost,separate,3,2,855,184,7.522713702657948,27.111486603819426,-0.13475626440077715
group_formula,AF+ES,xgboost,separate,3,3,845,194,8.109111195987033,23.21664235088424,0.49120530736502277
group_formula,AF+ES,xgboost,separate,3,4,814,225,6.592569444444444,17.18158052096456,0.4913485906624815
group_formula,AF+T,median,pooled,2,0,490,136,82.63235294117646,104.08720891071837,-0.7911343364267052
group_formula,AF+T,median,pooled,2,1,511,115,96.86086956521739,114.862829345343,-1.263479258371579
group_formula,AF+T,median,pooled,2,2,498,128,97.2109375,115.76589388718942,-1.1149897971030338
group_formula,AF+T,median,pooled,2,3,505,121,97.43801652892562,114.63820198944111,-1.580683707557046
group_formula,AF+T,median,pooled,2,4,500,126,101.36507936507937,115.18287736506342,-2.1032403419881334
group_formula,AF+T,median,pooled,3,0,812,227,8.940528634361234,28.761379667053923,-0.02752128680643029
group_formula,AF+T,median,pooled,3,1,830,209,10.411483253588516,29.724251049916614,-0.03236720178478647
group_formula,AF+T,median,pooled,3,2,855,184,10.168478260869565,26.132397018127584,-0.054276243265235946
group_formula,AF+T,median,pooled,3,3,845,194,12.84020618556701,33.79036341612523,-0.077778399501375
group_formula,AF+T,median,pooled,3,4,814,225,11.12888888888889,24.308389041188597,-0.018137386705149083
group_formula,AF+T,median,separate,2,0,490,136,72.3529411764706,84.8103420441579,-0.1891347282823994
group_formula,AF+T,median,separate,2,1,511,115,65.57391304347826,76.34709071647436,-5.720847991996791e-06
group_formula,AF+T,median,separate,2,2,498,128,67.0859375,79.99799802182552,-0.00996251490455946
group_formula,AF+T,median,separate,2,3,505,121,59.98347107438016,71.84004270277956,-0.013466066372206154
group_formula,AF+T,median,separate,2,4,500,126,54.98412698412698,65.9782311382094,-0.018218308416956708
group_formula,AF+T,median,separate,3,0,812,227,8.561674008810572,29.15553385182686,-0.055877155008583035
group_formula,AF+T,median,separate,3,1,830,209,10.267942583732058,30.142722704782596,-0.06164009907894741
group_formula,AF+T,median,separate,3,2,855,184,9.940217391304348,26.65744858791612,-0.09706683362171242
group_formula,AF+T,median,separate,3,3,845,194,12.788659793814434,34.38165118408844,-0.115827883644543
group_formula,AF+T,median,separate,3,4,814,225,10.862222222222222,24.655132438410376,-0.047390687273878296
group_formula,AF+T,xgboost,pooled,2,0,490,136,29.984559900620404,42.92381014108991,0.695399954601265
group_formula,AF+T,xgboost,pooled,2,1,511,115,32.70169014308764,54.07161792728254,0.49840150013543294
group_formula,AF+T,xgboost,pooled,2,2,498,128,29.589669704437256,46.58175014598765,0.6575646265512562
group_formula,AF+T,xgboost,pooled,2,3,505,121,26.813097488781636,41.61008338835984,0.6600044596298003
group_formula,AF+T,xgboost,pooled,2,4,500,126,22.68756151956225,35.110696446630165,0.7116509971481948
group_formula,AF+T,xgboost,pooled,3,0,812,227,15.319741673406526,28.26994320008628,0.007292576765839609
group_formula,AF+T,xgboost,pooled,3,1,830,209,12.017139343553753,26.83543733273328,0.15854729314624838
group_formula,AF+T,xgboost,pooled,3,2,855,184,15.315583270529043,28.945279321122793,-0.2934552706397242
group_formula,AF+T,xgboost,pooled,3,3,845,194,13.384356311916076,28.707614605246313,0.22207457715280687
group_formula,AF+T,xgboost,pooled,3,4,814,225,9.382787543402777,18.960498883175447,0.3805681260314664
group_formula,AF+T,xgboost,separate,2,0,490,136,26.855724334716797,42.52842622993829,0.7009856321304264
group_formula,AF+T,xgboost,separate,2,1,511,115,25.20601620881454,47.38784046007492,0.6147422935003577
group_formula,AF+T,xgboost,separate,2,2,498,128,23.006855964660645,41.55015876678032,0.7275464990804579
group_formula,AF+T,xgboost,separate,2,3,505,121,23.834808601820765,39.95743343845442,0.6864756922375672
group_formula,AF+T,xgboost,separate,2,4,500,126,19.30736626519097,32.66309244392499,0.7504519584962337
group_formula,AF+T,xgboost,separate,3,0,812,227,12.110669106638904,27.41761489885712,0.06624972675144125
group_formula,AF+T,xgboost,separate,3,1,830,209,8.78527101945649,23.223293165561373,0.3698267463734657
group_formula,AF+T,xgboost,separate,3,2,855,184,8.60965231190557,23.77825591151983,0.12711723444456247
group_formula,AF+T,xgboost,separate,3,3,845,194,9.285560843870812,24.200772185330326,0.447156513813492
group_formula,AF+T,xgboost,separate,3,4,814,225,7.31717041015625,17.26618483831806,0.4863269271494939
group_formula,AF+T+ES,median,pooled,2,0,490,136,82.63235294117646,104.08720891071837,-0.7911343364267052
group_formula,AF+T+ES,median,pooled,2,1,511,115,96.86086956521739,114.862829345343,-1.263479258371579
group_formula,AF+T+ES,median,pooled,2,2,498,128,97.2109375,115.76589388718942,-1.1149897971030338
group_formula,AF+T+ES,median,pooled,2,3,505,121,97.43801652892562,114.63820198944111,-1.580683707557046
group_formula,AF+T+ES,median,pooled,2,4,500,126,101.36507936507937,115.18287736506342,-2.1032403419881334
group_formula,AF+T+ES,median,pooled,3,0,812,227,8.940528634361234,28.761379667053923,-0.02752128680643029
group_formula,AF+T+ES,median,pooled,3,1,830,209,10.411483253588516,29.724251049916614,-0.03236720178478647
