protocol,feature_set,model,training_mode,Eu valence,fold_count,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std
group_host,AF+T,xgboost,separate,2,5,33.513958410953315,3.835365340148426,53.215015380074455,2.8139122886968964,0.4802312975881934,0.06711160499741023
group_host,AF+T,xgboost,separate,3,5,8.66684557651385,3.2093754327848525,21.655610527776783,10.149281319229901,0.28373170319719704,0.28938408863288956
group_host,AF+T+ES,median,pooled,2,5,95.0149131224648,12.2199162868291,112.62506772384998,9.863637103765967,-1.3253278146077574,0.3528197919490651
group_host,AF+T+ES,median,pooled,3,5,10.449853633639822,4.6270167286002994,26.412197497095327,10.214904628529565,-0.04777897331251415,0.04639011428695276
group_host,AF+T+ES,median,separate,2,5,64.26526039722691,5.325094920113938,76.70819533967078,3.5222678730202506,-0.07645333578602713,0.09473792593427767
group_host,AF+T+ES,median,separate,3,5,10.238034744152568,4.591775495041607,26.880830215121726,10.279181409987382,-0.0884792325123557,0.05290377730609529
group_host,AF+T+ES,xgboost,pooled,2,5,34.835499513098924,2.886663543795421,54.59741523460573,3.8299874729286394,0.45542106822946843,0.05377802504059779
group_host,AF+T+ES,xgboost,pooled,3,5,11.342858973007878,3.9156773138660026,22.444981678328702,9.805812991074724,0.23581603464656684,0.2296860140299383
group_host,AF+T+ES,xgboost,separate,2,5,33.99783603441541,7.150154058718502,52.748179437400815,9.158904630393193,0.4773653616231215,0.20124217960458937
group_host,AF+T+ES,xgboost,separate,3,5,8.246811450632595,3.364695288023827,21.584531001330525,10.925167598047047,0.2937780208071171,0.31542899288242254
group_reference,AF,median,pooled,2,5,94.34190085923802,12.847540999758666,111.84042296316193,9.909960170080296,-1.375925540580144,0.6576894488855637
group_reference,AF,median,pooled,3,5,10.871446245023742,5.434844895226401,27.295635455796894,10.30523946570369,-0.0572073447093346,0.06102815360790099
group_reference,AF,median,separate,2,5,65.81197199031054,7.7447413193583134,77.48928383555851,6.558655754335213,-0.1136291296087562,0.10111758539197967
group_reference,AF,median,separate,3,5,10.708159310529458,5.311289290524435,27.66904832747743,10.27626634563162,-0.09237514407662464,0.07749488103898507
group_reference,AF,xgboost,pooled,2,5,58.82975400778914,5.994196171962846,73.30346551292519,7.573325171224082,-0.011312375353179482,0.24531174772510836
group_reference,AF,xgboost,pooled,3,5,22.69667249765047,4.811848807077203,37.05870098508545,7.728833587126225,-1.2515218083755353,0.7981585369993204
group_reference,AF,xgboost,separate,2,5,57.391775598104985,6.213474641211662,72.91053882386058,7.46347937137219,-0.024207308107676552,0.34956350636554334
group_reference,AF,xgboost,separate,3,5,14.5632581870159,3.9343259209242087,28.10670614228099,9.518176881684873,-0.1483111972828868,0.167784518632387
group_reference,AF+ES,median,pooled,2,5,94.34190085923802,12.847540999758666,111.84042296316193,9.909960170080296,-1.375925540580144,0.6576894488855637
group_reference,AF+ES,median,pooled,3,5,10.871446245023742,5.434844895226401,27.295635455796894,10.30523946570369,-0.0572073447093346,0.06102815360790099
group_reference,AF+ES,median,separate,2,5,65.81197199031054,7.7447413193583134,77.48928383555851,6.558655754335213,-0.1136291296087562,0.10111758539197967
group_reference,AF+ES,median,separate,3,5,10.708159310529458,5.311289290524435,27.66904832747743,10.27626634563162,-0.09237514407662464,0.07749488103898507
group_reference,AF+ES,xgboost,pooled,2,5,54.38414871158185,8.312271521308249,68.74237342940953,8.624406386360386,0.11291288371773014,0.1987887181702056
group_reference,AF+ES,xgboost,pooled,3,5,19.788460582236066,2.2874563563359946,33.61922621347101,4.921519738969461,-0.9570751144721313,0.9316523674424098
group_reference,AF+ES,xgboost,separate,2,5,54.62571977179476,6.869267545170329,69.91079255345186,7.364317755765691,0.08068259454770435,0.22401958491225857
group_reference,AF+ES,xgboost,separate,3,5,14.40253184725041,3.4954600689324873,28.175982592590053,8.426875547459899,-0.18050456703664414,0.17344743195642023
group_reference,AF+T,median,pooled,2,5,94.34190085923802,12.847540999758666,111.84042296316193,9.909960170080296,-1.375925540580144,0.6576894488855637
group_reference,AF+T,median,pooled,3,5,10.871446245023742,5.434844895226401,27.295635455796894,10.30523946570369,-0.0572073447093346,0.06102815360790099
group_reference,AF+T,median,separate,2,5,65.81197199031054,7.7447413193583134,77.48928383555851,6.558655754335213,-0.1136291296087562,0.10111758539197967
group_reference,AF+T,median,separate,3,5,10.708159310529458,5.311289290524435,27.66904832747743,10.27626634563162,-0.09237514407662464,0.07749488103898507
group_reference,AF+T,xgboost,pooled,2,5,58.24598448754108,5.806227637184265,72.17369604028215,7.651558592979076,0.014822644398797147,0.262232966269215
group_reference,AF+T,xgboost,pooled,3,5,22.447520422378027,4.774868321956994,36.53088720966275,6.991289168709795,-1.2102995972772181,0.823428415153631
group_reference,AF+T,xgboost,separate,2,5,56.24958391559348,7.671819362042597,72.01256377143632,8.128025010959908,-0.0017146356558235486,0.35301894130744427
group_reference,AF+T,xgboost,separate,3,5,14.668563981597895,4.242952562765334,28.264449707626266,9.823913203104661,-0.15296743070003035,0.14998763568857784
group_reference,AF+T+ES,median,pooled,2,5,94.34190085923802,12.847540999758666,111.84042296316193,9.909960170080296,-1.375925540580144,0.6576894488855637
group_reference,AF+T+ES,median,pooled,3,5,10.871446245023742,5.434844895226401,27.295635455796894,10.30523946570369,-0.0572073447093346,0.06102815360790099
group_reference,AF+T+ES,median,separate,2,5,65.81197199031054,7.7447413193583134,77.48928383555851,6.558655754335213,-0.1136291296087562,0.10111758539197967
group_reference,AF+T+ES,median,separate,3,5,10.708159310529458,5.311289290524435,27.66904832747743,10.27626634563162,-0.09237514407662464,0.07749488103898507
group_reference,AF+T+ES,xgboost,pooled,2,5,54.547751946489754,8.189706593333232,68.64024308155123,8.11148238195688,0.11373953111243759,0.20488704089454857
group_reference,AF+T+ES,xgboost,pooled,3,5,19.684508780353724,2.7768194936443216,32.94931566465815,5.215988646868778,-0.8685271101686075,0.8947021940390129
group_reference,AF+T+ES,xgboost,separate,2,5,53.88811777143214,6.954566459336436,68.80644642884651,6.754742749360511,0.10784284918852756,0.21967599660891254
