protocol,feature_set,model,training_mode,fold_count,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std
group_host,AF+T+ES,xgboost,separate,5,18.030427813243755,3.71923210512518,37.28175846480296,7.095131265589309,0.6344113989857679,0.16263447970033965
group_reference,AF,median,pooled,5,42.34210102979431,11.99273106553561,72.09215768221777,11.367172267511911,-0.32208703904164593,0.1848113754946612
group_reference,AF,median,separate,5,31.400939420566935,6.626966688402358,52.704776697463956,6.036337805680237,0.28964610151337755,0.07957231167586606
group_reference,AF,xgboost,pooled,5,36.58338323267762,2.3074511636230004,54.352407605811365,4.546461957502648,0.23882897943265724,0.09401317762957444
group_reference,AF,xgboost,separate,5,30.858066979298577,5.790492205372122,50.320022452968544,9.068384817943656,0.3467770052646032,0.17445654404110106
group_reference,AF+ES,median,pooled,5,42.34210102979431,11.99273106553561,72.09215768221777,11.367172267511911,-0.32208703904164593,0.1848113754946612
group_reference,AF+ES,median,separate,5,31.400939420566935,6.626966688402358,52.704776697463956,6.036337805680237,0.28964610151337755,0.07957231167586606
group_reference,AF+ES,xgboost,pooled,5,32.81494550530731,3.035368355106921,49.99754131872902,4.1952388024316205,0.35403559774875515,0.09718021087302033
group_reference,AF+ES,xgboost,separate,5,29.60507923965806,4.618194878665207,48.642138054321855,6.850543113707714,0.3977136453237002,0.06392821550865001
group_reference,AF+T,median,pooled,5,42.34210102979431,11.99273106553561,72.09215768221777,11.367172267511911,-0.32208703904164593,0.1848113754946612
group_reference,AF+T,median,separate,5,31.400939420566935,6.626966688402358,52.704776697463956,6.036337805680237,0.28964610151337755,0.07957231167586606
group_reference,AF+T,xgboost,pooled,5,36.219884425170385,2.337584486127991,53.48356607488631,4.941977917486738,0.2627008359058742,0.09952003141007643
group_reference,AF+T,xgboost,separate,5,30.53457321379263,6.249517272853315,49.88957906591317,9.182495330983075,0.356014997839572,0.17946471514145362
group_reference,AF+T+ES,median,pooled,5,42.34210102979431,11.99273106553561,72.09215768221777,11.367172267511911,-0.32208703904164593,0.1848113754946612
group_reference,AF+T+ES,median,separate,5,31.400939420566935,6.626966688402358,52.704776697463956,6.036337805680237,0.28964610151337755,0.07957231167586606
group_reference,AF+T+ES,xgboost,pooled,5,32.822374138807625,2.884516264096755,49.684592505653505,4.2725879927364625,0.36204464193967795,0.09608400751260836
group_reference,AF+T+ES,xgboost,separate,5,29.057222294786385,4.660734368763876,47.906534543461035,6.538551321522836,0.41454055603487594,0.06861852485661087
random_row,AF,median,pooled,5,42.31441441441442,5.111488303129862,72.56575843196566,6.3050620076201485,-0.30980546894902655,0.07970991000334798
random_row,AF,median,separate,5,30.661561561561562,2.4522610137534446,52.24225355267926,3.8632704216303324,0.31614800030966866,0.09274096685070064
random_row,AF,xgboost,pooled,5,17.907658427470437,1.3450551398255097,34.547621947274976,3.969944820856626,0.6996814073669686,0.06630011622349608
random_row,AF,xgboost,separate,5,13.226040053725601,0.8015173567145127,30.466812854385932,2.317320527124234,0.7678111688037218,0.029063492122803257
random_row,AF+ES,median,pooled,5,42.31441441441442,5.111488303129862,72.56575843196566,6.3050620076201485,-0.30980546894902655,0.07970991000334798
random_row,AF+ES,median,separate,5,30.661561561561562,2.4522610137534446,52.24225355267926,3.8632704216303324,0.31614800030966866,0.09274096685070064
random_row,AF+ES,xgboost,pooled,5,13.872961279150243,1.2413682972162785,27.777457714851067,3.9511881798527893,0.8056581459131126,0.05114289506758117
random_row,AF+ES,xgboost,separate,5,11.48188515053139,1.0339979612389198,26.399815122137955,3.665299232241173,0.8248833105652024,0.042033147153091054
random_row,AF+T,median,pooled,5,42.31441441441442,5.111488303129862,72.56575843196566,6.3050620076201485,-0.30980546894902655,0.07970991000334798
random_row,AF+T,median,separate,5,30.661561561561562,2.4522610137534446,52.24225355267926,3.8632704216303324,0.31614800030966866,0.09274096685070064
random_row,AF+T,xgboost,pooled,5,17.922706251173047,1.469952514245088,34.45716325258046,4.010379995486856,0.701031278671713,0.06766177735169412
random_row,AF+T,xgboost,separate,5,13.474604902754317,0.8944859300471165,30.737174854961694,2.2876483450924905,0.7640432401337075,0.024856038321345125
random_row,AF+T+ES,median,pooled,5,42.31441441441442,5.111488303129862,72.56575843196566,6.3050620076201485,-0.30980546894902655,0.07970991000334798
