protocol,feature_set,model,training_mode,fold,train_rows,test_rows,train_groups,test_groups,mae,rmse,r2
group_host,AF+ES,xgboost,separate,3,1323,342,895,223,22.029589647438094,42.324840450777984,0.5672133455811639
group_host,AF+ES,xgboost,separate,4,1285,380,895,223,17.518762769197163,40.1072017240848,0.6665475521553312
group_host,AF+T,median,pooled,0,1331,334,894,224,32.97754491017964,62.99280564377373,-0.2228396220794222
group_host,AF+T,median,pooled,1,1336,329,894,224,42.83586626139817,71.55581068336234,-0.33606688215858793
group_host,AF+T,median,pooled,2,1385,280,894,224,43.292857142857144,73.53687121826322,-0.33478991467952124
group_host,AF+T,median,pooled,3,1323,342,895,223,46.43567251461988,75.40613234559665,-0.37371465965266926
group_host,AF+T,median,pooled,4,1285,380,895,223,45.63947368421053,78.66989660333199,-0.28293999402424297
group_host,AF+T,median,separate,0,1331,334,894,224,30.33383233532934,52.17170666221208,0.161201421187659
group_host,AF+T,median,separate,1,1336,329,894,224,25.94224924012158,47.12077865607714,0.4206202618945333
group_host,AF+T,median,separate,2,1385,280,894,224,30.125,49.10728051928756,0.40475687335761823
group_host,AF+T,median,separate,3,1323,342,895,223,35.75730994152047,58.196908139170624,0.18175563069673928
group_host,AF+T,median,separate,4,1285,380,895,223,30.871052631578948,53.89517115367768,0.39787189887411145
group_host,AF+T,xgboost,pooled,0,1331,334,894,224,22.848425402612744,40.74073255859664,0.48850043822102895
group_host,AF+T,xgboost,pooled,1,1336,329,894,224,19.770999989611038,34.313338665341654,0.6927694915168779
group_host,AF+T,xgboost,pooled,2,1385,280,894,224,21.70828138078962,39.85850836039283,0.6078567855403023
group_host,AF+T,xgboost,pooled,3,1323,342,895,223,27.00599777489378,46.92985035793952,0.46791435821410565
group_host,AF+T,xgboost,pooled,4,1285,380,895,223,27.50141930831106,49.71436563466223,0.4876662223913296
group_host,AF+T,xgboost,separate,0,1331,334,894,224,19.019692792150074,38.05097127749526,0.5538107606892103
group_host,AF+T,xgboost,separate,1,1336,329,894,224,15.354961638754986,35.127316642602054,0.6780204142160626
group_host,AF+T,xgboost,separate,2,1385,280,894,224,15.99760480608259,31.35340635057886,0.7573545886168966
group_host,AF+T,xgboost,separate,3,1323,342,895,223,21.75776824058845,41.4733893697348,0.584450983210284
group_host,AF+T,xgboost,separate,4,1285,380,895,223,18.453506228798314,41.43424402239406,0.6441163598657693
group_host,AF+T+ES,median,pooled,0,1331,334,894,224,32.97754491017964,62.99280564377373,-0.2228396220794222
group_host,AF+T+ES,median,pooled,1,1336,329,894,224,42.83586626139817,71.55581068336234,-0.33606688215858793
group_host,AF+T+ES,median,pooled,2,1385,280,894,224,43.292857142857144,73.53687121826322,-0.33478991467952124
group_host,AF+T+ES,median,pooled,3,1323,342,895,223,46.43567251461988,75.40613234559665,-0.37371465965266926
group_host,AF+T+ES,median,pooled,4,1285,380,895,223,45.63947368421053,78.66989660333199,-0.28293999402424297
group_host,AF+T+ES,median,separate,0,1331,334,894,224,30.33383233532934,52.17170666221208,0.161201421187659
group_host,AF+T+ES,median,separate,1,1336,329,894,224,25.94224924012158,47.12077865607714,0.4206202618945333
group_host,AF+T+ES,median,separate,2,1385,280,894,224,30.125,49.10728051928756,0.40475687335761823
group_host,AF+T+ES,median,separate,3,1323,342,895,223,35.75730994152047,58.196908139170624,0.18175563069673928
group_host,AF+T+ES,median,separate,4,1285,380,895,223,30.871052631578948,53.89517115367768,0.39787189887411145
group_host,AF+T+ES,xgboost,pooled,0,1331,334,894,224,18.706047286530456,35.47715104542811,0.6121309982597053
group_host,AF+T+ES,xgboost,pooled,1,1336,329,894,224,17.94980544812049,34.20958153250647,0.694624697820245
group_host,AF+T+ES,xgboost,pooled,2,1385,280,894,224,17.984083448137557,34.14229705542498,0.7122680467526081
group_host,AF+T+ES,xgboost,pooled,3,1323,342,895,223,25.823145102339183,44.769689411293264,0.5157703660899295
group_host,AF+T+ES,xgboost,pooled,4,1285,380,895,223,20.812031474866366,43.41722633696128,0.6092370889270012
group_host,AF+T+ES,xgboost,separate,0,1331,334,894,224,21.455505919313715,44.48583478025109,0.39013868267964014
group_host,AF+T+ES,xgboost,separate,1,1336,329,894,224,14.596903421233852,31.396639679202842,0.7427800058440817
group_host,AF+T+ES,xgboost,separate,2,1385,280,894,224,14.399825177873884,28.228814309798754,0.8033074573308552
group_host,AF+T+ES,xgboost,separate,3,1323,342,895,223,22.30024674621939,42.3667705768409,0.5663554197122299
group_host,AF+T+ES,xgboost,separate,4,1285,380,895,223,17.39965780157792,39.93073297792126,0.6694754293620329
group_reference,AF,median,pooled,0,1295,364,240,61,36.80494505494506,66.29141873426906,-0.2756577580942441
group_reference,AF,median,pooled,1,1347,312,241,60,39.2275641025641,69.78409928357972,-0.24339391437214708
group_reference,AF,median,pooled,2,1317,342,241,60,62.39912280701754,90.71127724110961,-0.6502070939747038
group_reference,AF,median,pooled,3,1355,304,241,60,42.453947368421055,73.00018024491085,-0.21887083467061963
group_reference,AF,median,pooled,4,1322,337,241,60,30.82492581602374,60.67381290721968,-0.22230559409651507
group_reference,AF,median,separate,0,1295,364,240,61,32.120879120879124,53.4577475136277,0.17045326526396876
group_reference,AF,median,separate,1,1347,312,241,60,32.79807692307692,53.18936899756355,0.2776536891754583
group_reference,AF,median,separate,2,1317,342,241,60,38.93421052631579,59.16329987949944,0.2980265864641507
group_reference,AF,median,separate,3,1355,304,241,60,32.48684210526316,54.923870757143185,0.3100270044396257
group_reference,AF,median,separate,4,1322,337,241,60,20.664688427299705,42.78959633948587,0.3920699622236844
group_reference,AF,xgboost,pooled,0,1295,364,240,61,35.643062968830485,53.20229372681888,0.17836248496634144
group_reference,AF,xgboost,pooled,1,1347,312,241,60,34.94911056909806,53.49924224993271,0.26921261075196434
group_reference,AF,xgboost,pooled,2,1317,342,241,60,40.625060767458194,62.2653648216757,0.2224846713592077
group_reference,AF,xgboost,pooled,3,1355,304,241,60,36.25662602876362,51.92367385447108,0.3833472861931375
group_reference,AF,xgboost,pooled,4,1322,337,241,60,35.44305582923776,50.871463376158495,0.14073784389263522
group_reference,AF,xgboost,separate,0,1295,364,240,61,34.6686024089436,54.74749001134142,0.12994246333585735
group_reference,AF,xgboost,separate,1,1347,312,241,60,28.89519794170673,45.97351488738286,0.46035121895698194
group_reference,AF,xgboost,separate,2,1317,342,241,60,38.61390596802472,63.72245002898492,0.18566928364930957
group_reference,AF,xgboost,separate,3,1355,304,241,60,28.233407371922542,46.73442441580406,0.5004446470939181
group_reference,AF,xgboost,separate,4,1322,337,241,60,23.87922120589531,40.42223292132947,0.4574774132869489
group_reference,AF+ES,median,pooled,0,1295,364,240,61,36.80494505494506,66.29141873426906,-0.2756577580942441
group_reference,AF+ES,median,pooled,1,1347,312,241,60,39.2275641025641,69.78409928357972,-0.24339391437214708
group_reference,AF+ES,median,pooled,2,1317,342,241,60,62.39912280701754,90.71127724110961,-0.6502070939747038
group_reference,AF+ES,median,pooled,3,1355,304,241,60,42.453947368421055,73.00018024491085,-0.21887083467061963
group_reference,AF+ES,median,pooled,4,1322,337,241,60,30.82492581602374,60.67381290721968,-0.22230559409651507
group_reference,AF+ES,median,separate,0,1295,364,240,61,32.120879120879124,53.4577475136277,0.17045326526396876
group_reference,AF+ES,median,separate,1,1347,312,241,60,32.79807692307692,53.18936899756355,0.2776536891754583
group_reference,AF+ES,median,separate,2,1317,342,241,60,38.93421052631579,59.16329987949944,0.2980265864641507
group_reference,AF+ES,median,separate,3,1355,304,241,60,32.48684210526316,54.923870757143185,0.3100270044396257
