row_id,Host,Reference,Eu valence,match_count,host_missing,host_values,reference_values,eu_valence_missing,eu_valence_values,eu_valence_invalid,status
0,Ca8.99CeP7O28,https://doi.org/10.1039/C6CP05490K,2.0,1,False,1,1,False,1,False,resolved
1,Ca8.98CeP7O28,https://doi.org/10.1039/C6CP05490K,2.0,1,False,1,1,False,1,False,resolved
2,Ca8.96CeP7O28,https://doi.org/10.1039/C6CP05490K,2.0,1,False,1,1,False,1,False,resolved
3,Ca8.94CeP7O28,https://doi.org/10.1039/C6CP05490K,2.0,1,False,1,1,False,1,False,resolved
4,Ca8.92CeP7O28,https://doi.org/10.1039/C6CP05490K,2.0,1,False,1,1,False,1,False,resolved
5,Ca8.95CeP7O28,https://doi.org/10.1039/C6CP05490K,2.0,1,False,1,1,False,1,False,resolved
6,Ca8.92CeP7O28,https://doi.org/10.1039/C6CP05490K,2.0,1,False,1,1,False,1,False,resolved
7,Ca8.88CeP7O28,https://doi.org/10.1039/C6CP05490K,2.0,1,False,1,1,False,1,False,resolved
8,Ca8.8CeP7O28,https://doi.org/10.1039/C6CP05490K,2.0,1,False,1,1,False,1,False,resolved
9,Ca8.71CeP7O28,https://doi.org/10.1039/C6CP05490K,2.0,1,False,1,1,False,1,False,resolved
10,CaZrO3,https://doi.org/10.1007/s10854-018-0505-z,3.0,1,False,1,1,False,1,False,resolved
11,CaZrO3,https://doi.org/10.1007/s10854-018-0505-z,3.0,1,False,1,1,False,1,False,resolved
12,MgY4Si3O13,https://doi.org/10.1016/j.ceramint.2017.09.005,3.0,1,False,1,1,False,1,False,resolved
13,BaMg2Si2O7,https://doi.org/10.1021/acs.jpcc.7b12204,2.0,1,False,1,1,False,1,False,resolved
14,BaMg2Si2O7,https://doi.org/10.1021/acs.jpcc.7b12204,2.0,1,False,1,1,False,1,False,resolved
15,BaMg2Si2O7,https://doi.org/10.1021/acs.jpcc.7b12204,2.0,1,False,1,1,False,1,False,resolved
16,BaMg2Si2O7,https://doi.org/10.1021/acs.jpcc.7b12204,2.0,1,False,1,1,False,1,False,resolved
17,BaMg2Si2O7,https://doi.org/10.1021/acs.jpcc.7b12204,2.0,1,False,1,1,False,1,False,resolved
18,Ba2YB2O6Cl,https://doi.org/10.1021/acs.jpcc.7b00019,3.0,1,False,1,1,False,1,False,resolved
19,Ba2YB2O6Cl,https://doi.org/10.1021/acs.jpcc.7b00019,3.0,1,False,1,1,False,1,False,resolved
20,Ba2YB2O6Cl,https://doi.org/10.1021/acs.jpcc.7b00019,3.0,1,False,1,1,False,1,False,resolved
21,Ba2YB2O6Cl,https://doi.org/10.1021/acs.jpcc.7b00019,3.0,1,False,1,1,False,1,False,resolved
22,Li2SrSiO4,https://doi.org/10.1016/j.jlumin.2008.05.021,2.0,1,False,1,1,False,1,False,resolved
23,Li2SrSiO4,https://doi.org/10.1016/j.jlumin.2008.05.021,2.0,1,False,1,1,False,1,False,resolved
24,Li2SrSiO4,https://doi.org/10.1016/j.jlumin.2008.05.021,2.0,1,False,1,1,False,1,False,resolved
25,Li2SrSiO4,https://doi.org/10.1016/j.jlumin.2008.05.021,2.0,1,False,1,1,False,1,False,resolved
26,CaWO4,https://doi.org/10.1039/C6RA01862A,3.0,1,False,1,1,False,1,False,resolved
27,CaWO4,https://doi.org/10.1039/C6RA01862A,3.0,1,False,1,1,False,1,False,resolved
28,Ba2Y3Si3O12F,https://doi.org/10.1039/C6TC04350J,2.0,1,False,1,1,False,1,False,resolved
29,Sr0.99Zn2P2O8,https://doi.org/10.1063/1.2182026,2.0,1,False,1,1,False,1,False,resolved
30,Sr0.99Zn1.994P2O8,https://doi.org/10.1063/1.2182026,2.0,1,False,1,1,False,1,False,resolved
31,Sr0.99Zn1.99P2O8,https://doi.org/10.1063/1.2182026,2.0,1,False,1,1,False,1,False,resolved
32,Sr0.99Zn1.86P2O8,https://doi.org/10.1063/1.2182026,2.0,1,False,1,1,False,1,False,resolved
33,KBaSc2P3O12,https://doi.org/10.1002/cphc.201500387,2.0,1,False,1,1,False,1,False,resolved
34,Na0.34Ca0.66Al1.66Si2.34O8,https://doi.org/10.1021/ic300956m,2.0,1,False,1,1,False,1,False,resolved
35,Ca0.99Al2Si2O8,https://doi.org/10.1021/cm050638f,2.0,1,False,1,1,False,1,False,resolved
36,Ca0.94Al2Si2O8,https://doi.org/10.1021/cm050638f,2.0,2,False,1,1,False,1,False,resolved
37,Ca0.89Al2Si2O8,https://doi.org/10.1021/cm050638f,2.0,2,False,1,1,False,1,False,resolved
38,Ca0.84Al2Si2O8,https://doi.org/10.1021/cm050638f,2.0,2,False,1,1,False,1,False,resolved
39,Ca0.79Al2Si2O8,https://doi.org/10.1021/cm050638f,2.0,2,False,1,1,False,1,False,resolved
40,Ca0.74Al2Si2O8,https://doi.org/10.1021/cm050638f,2.0,2,False,1,1,False,1,False,resolved
