row_id,Atomic Ratio_sum,Atomic Ratio_max,Atomic Ratio_min,Atomic Ratio_diff,Atomic Number_sum,Atomic Number_max,Atomic Number_min,Atomic Number_diff,Atomic Weight_sum,Atomic Weight_max,Atomic Weight_min,Atomic Weight_diff,Atomic Radius_sum,Atomic Radius_max,Atomic Radius_min,Atomic Radius_diff,EN pauling_sum,EN pauling_max,EN pauling_min,EN pauling_diff,Valence Electron_sum,Valence Electron_max,Valence Electron_min,Valence Electron_diff,Ionization Energy_sum,Ionization Energy_max,Ionization Energy_min,Ionization Energy_diff,ARW_Atomic Number_sum,ARW_Atomic Number_max,ARW_Atomic Number_min,ARW_Atomic Number_diff,ARW_Atomic Weight_sum,ARW_Atomic Weight_max,ARW_Atomic Weight_min,ARW_Atomic Weight_diff,ARW_Atomic Radius_sum,ARW_Atomic Radius_max,ARW_Atomic Radius_min,ARW_Atomic Radius_diff,ARW_EN pauling_sum,ARW_EN pauling_max,ARW_EN pauling_min,ARW_EN pauling_diff,ARW_Valence Electron_sum,ARW_Valence Electron_max,ARW_Valence Electron_min,ARW_Valence Electron_diff,ARW_Ionization Energy_sum,ARW_Ionization Energy_max,ARW_Ionization Energy_min,ARW_Ionization Energy_diff,Temp. (K),Excitation source (nm),Emission max. (nm),Formula,Host,Reference,Eu valence
21,12.045,6.0,0.005,5.995,271,83,5,78,649.43624,208.9804,10.81,198.1704,985,215,60,155,12.65,3.44,0,3.44,28,7,2,5,59.268528,13.618054,5.211664,8.40639,228.935,112.0,0.415,111.585,523.747302,274.654,1.044902,273.609098,1248.2,430.0,0.8,429.2,30.8895,20.64,0,20.64,56.105,36.0,0.025,35.975,128.175823,81.708324,0.03642758,81.67189642,298,372.0,410.0,Ba2YB2O6ClEu0.04Bi0.005,Ba2YB2O6Cl,https://doi.org/10.1021/acs.jpcc.7b00019,3
22,8.0125,4.0,0.0025,3.9975,184,63,3,60,430.724,151.964,6.94,145.024,885,200,60,140,8.39,3.44,0,3.44,17,6,1,5,44.06530396,13.618054,5.391714761,8.226339239,90.775,38.0,0.145,37.855,195.45093,87.62,0.35029,87.26971,842.3125,290.0,0.4625,289.5375,18.5728,13.76,0,13.76,32.025,24.0,0.005,23.995,79.17274607,54.472216,0.0138465,54.4583695,298,361.0,413.0,Li2SrSiO4Eu0.01Ce0.0025,Li2SrSiO4,https://doi.org/10.1016/j.jlumin.2008.05.021,2
23,8.015,4.0,0.005,3.995,184,63,3,60,430.724,151.964,6.94,145.024,885,200,60,140,8.39,3.44,0,3.44,17,6,1,5,44.06530396,13.618054,5.391714761,8.226339239,90.92,38.0,0.29,37.71,195.80122,87.62,0.70058,86.91942,842.775,290.0,0.925,289.075,18.5756,13.76,0,13.76,32.03,24.0,0.01,23.99,79.18659257,54.472216,0.027693,54.444523,298,361.0,413.0,Li2SrSiO4Eu0.01Ce0.005,Li2SrSiO4,https://doi.org/10.1016/j.jlumin.2008.05.021,2
24,8.0175,4.0,0.0075,3.9925,184,63,3,60,430.724,151.964,6.94,145.024,885,200,60,140,8.39,3.44,0,3.44,17,6,1,5,44.06530396,13.618054,5.391714761,8.226339239,91.065,38.0,0.435,37.565,196.15151,87.62,1.05087,86.56913,843.2375,290.0,1.3875,288.6125,18.5784,13.76,0,13.76,32.035,24.0,0.015,23.985,79.20043907,54.472216,0.0415395,54.4306765,298,361.0,413.0,Li2SrSiO4Eu0.01Ce0.0075,Li2SrSiO4,https://doi.org/10.1016/j.jlumin.2008.05.021,2
25,8.02,4.0,0.01,3.99,184,63,3,60,430.724,151.964,6.94,145.024,885,200,60,140,8.39,3.44,0,3.44,17,6,1,5,44.06530396,13.618054,5.391714761,8.226339239,91.21,38.0,0.58,37.42,196.5018,87.62,1.40116,86.21884,843.7,290.0,1.85,288.15,18.5812,13.76,0,13.76,32.04,24.0,0.02,23.98,79.21428557,54.472216,0.055386,54.41683,298,361.0,413.0,Li2SrSiO4Eu0.01Ce0.01,Li2SrSiO4,https://doi.org/10.1016/j.jlumin.2008.05.021,2
26,6.01,4.0,0.01,3.99,165,74,8,66,391.881,183.84,15.999,167.841,560,185,60,125,6.14,3.44,0,3.44,16,6,2,4,33.2656242,13.618054,5.670385,7.947669,126.63,74.0,0.63,73.37,289.43364,183.84,1.51964,182.32036,556.85,240.0,1.85,238.15,16.46,13.76,0,13.76,32.02,24.0,0.02,23.98,68.50610505,54.472216,0.05670385,54.41551215,298,276.0,415.0,CaWO4Eu0.01,CaWO4,https://doi.org/10.1039/C6RA01862A,3
27,6.02,4.0,0.02,3.98,165,74,8,66,391.881,183.84,15.999,167.841,560,185,60,125,6.14,3.44,0,3.44,16,6,2,4,33.2656242,13.618054,5.670385,7.947669,127.26,74.0,1.26,72.74,290.95328,183.84,3.03928,180.80072,558.7,240.0,3.7,236.3,16.46,13.76,0,13.76,32.04,24.0,0.04,23.96,68.5628089,54.472216,0.1134077,54.3588083,298,276.0,415.0,CaWO4Eu0.02,CaWO4,https://doi.org/10.1039/C6RA01862A,3
28,21.005,12.0,0.005,11.995,189,63,8,55,441.2792432,151.964,15.999,135.965,800,215,50,165,11.43,3.98,0,3.98,24,7,2,5,56.291866,17.42282,5.211664,12.211156,376.315,117.0,0.315,116.685,837.3727432,274.654,0.75982,273.89418,2070.925,720.0,0.925,719.075,56.4,41.28,0,41.28,104.01,72.0,0.01,71.99,234.3979769,163.416648,0.028351925,163.3882961,298,350.0,415.0,Ba2Y3Si3O12FEu0.005,Ba2Y3Si3O12F,https://doi.org/10.1039/C6TC04350J,2
29,13.0,8.0,0.01,7.99,154,63,8,55,351.936762,151.964,15.999,135.965,680,200,60,140,8.23,3.44,0,3.44,27,12,2,10,44.8641912,13.618054,5.670385,7.947669,192.25,64.0,0.63,63.37,408.962964,130.76,1.51964,129.24036,1149.85,480.0,1.85,478.15,36.1405,27.52,0,27.52,84.0,48.0,0.02,47.98,154.4008244,108.944432,0.05670385,108.8877282,298,365.0,416.0,Sr0.99Zn2P2O8Eu0.01,Sr0.99Zn2P2O8,https://doi.org/10.1063/1.2182026,2
30,13.0,8.0,0.006,7.994,179,63,8,55,406.874806,151.964,15.999,135.965,820,200,60,140,9.78,3.44,0,3.44,34,12,2,10,52.2982092,13.618054,5.670385,7.947669,192.22,64.0,0.15,63.85,408.9003123,130.36772,0.329628264,130.0380917,1149.88,480.0,0.84,479.16,36.1399,27.52,0,27.52,83.97,48.0,0.02,47.98,154.3890633,108.944432,0.044604108,108.8998279,298,365.0,416.0,Sr0.99Zn1.994P2O8Eu0.01Mn0.006,Sr0.99Zn1.994P2O8,https://doi.org/10.1063/1.2182026,2
